"id";"name";"image1";"description";"image2";"main_description";"how_to";"how_not_to";"info";"exercise_type"
11;"Seitliches heben der Langhantel mit einer Hand";"";"Dies ist eine nicht sehr verbreitete Ubung, an der vor allem der obere Bereich des Brustmuskels sowie der vordere
Teil des Deltamuskels beteiligt sind. Sie kann als abschließende Übung einer Trainingseinheit genutzt werden, um den
üblichen Trainingsablauf zu variieren, oder auch zum sportspezifischen Training (2, B. für manche Wurfsportarten).
Eine weitere Möglichkeit wäre es, diese Übung im Siizen oder auf Knien auszuführen und die Langhantel dabei auf
dem Boden aufzustützen, Die Übung wird nur in bestimmten Sportarten, bei denen eine ähnliche Bewegung ausgeführt
wird, für das Training genutzt. Für andere Zwecke hat sie keine große Bedeutung.";"";"";"Diese Ubung wird im Stehen ausgeführt. Eine Langhantel mit einer Scheibe wird am Ende von einer Hand im
Obergriff gehalten und in der Mitte von der anderen Hand im Untergriff. Die Hand am Ende der Stange bleibt
ruhig, während die andere Hand das Gewicht in einem Halbkreis bis zur Senkrechten hebt, Dann lässt sie die
Stange sanft bis in die Ausgangsstellung absinken. Bei der Abwärtsbewegung einatmen, am Ende der Aufwärtsbewegung
ausatmen.";"zu viel Gewicht und falsche Technik";"Es gibt keine einzige Sportart, bei der Krafttraining schaden würde. lm Gegenteil, für die meisten Sportarten ist es überaus nützlich.";"free"
12;"Bankdrücken mit gestrecktem Arm";"";"Die übung wird bei einem umfassenden Brustmuskeltraining als Ergänzung genutzt oder zur Rehabilitation bei Problemen
wie,,Engelsflügeln"" und Ahnlichem (Schwäche oder Schwund des Unterschulterblattmuskels usw.).Obwohl
der Name der Übung es vermuten lässt, werden die Ellbogen bei korrekter Ausführung nicht vollständig bis zur Blockierung
ausgestreckt, sondern in leicht gebeugter Haltung fixiert, damit das Gewicht von den umgebenden Muskeln
getragen wird, nicht von den Bändern. Nur bei sehr geringer Last darf eine vollständige Streckung erfolgen, z. 8.,
wenn nur mit der Hantelstange gearbeitet wird.";"";"";"Die Ausführung erfolgt in der gleichen Haltung wie beim Bankdrücken (siehe Übung 1 ) - mit der Langhantel
oder mit Kurzhanteln -, doch in diesem Fall sind die Ellbogen zu keiner Zeit gebeugt und es wird mit viel weniger
Gewicht gearbeitet. Die Bewegung besteht nur in einem Anheben der Schultern um ein paar Zentimeter,
jedoch weit genug, um die Sägemuskeln und den Unterschulterblattmuskel zu beanspruchen. Beim Absenken
der Langhantel einatmen, beim Anheben ausatmen,";"Ausführung wie beim herkömmlichen Bankdrücken durch Beugen
der Ellbogen und falsche Bewegungsstrecke.";"";"free"
13;"Überzüge auf Kurzhanteln auf dem Boden";"";"Es handelt sich um eine Ubung für Fortgeschrittene, die darüber hinaus eine starke isometrische Kontraktion der
Bauchmuskeln erJordert. Sehr schweren lYenschen wird die Ausführung schwerfallen, sie können jedoch versuchen,
anstelle der Füße die Knie aufzustützen. Sie bietet keine großen Vorteile im Vergleich zu den herkömmlichen Übungen.
Nützlicher ist es, eine einzelne Scheibe zu verwenden, durch die in der Mitte eine Stange führt, auf der man sich
abstützen kann, oder eine speziell für diesen Zweck gedachte Rolle. Zwar wird diese Übung hier gemeinsam mit weiteren
Übungen für die Brust aufgeführt, doch sie beansprucht auch den Rückenmuskel sehr stark,";"";"";"Die Ausgangsposition ist dieselbe wie bei der Übung ,,Rollende Liegestützen
mit Kurzhanteln"" (siehe Übung'10), doch nun sind die Hanteln nach
vorne gerichtet, Sie werden nach vorne gerollt, der Oberkörper nähert sich
dem Boden und kehrt anschließend in die Ausgangsposition zurück, Bei der
Abwärtsbewegung einatmen, unten die Luft anhalten und am Ende der Aufwärtsbewegung
ausatmen,";"falsche Technik und Durchbeugen des Oberkörpers, aber kein
Ausstrecken der Arme bei der Aufwärtsbewegung.";"";"free"
14;"Bankdrücken am Gerät";"";"Die Ausführung entspricht im Grunde dem Bankdrücken mit der Langhantel (siehe Ubung 1 ) oder mit Kurzhanteln
(siehe Übung 4), doch nun wird das Gewicht vom Gerät geführt, mit allem, was daraus folgt (siehe ,,Geräte und freie
Gewichte"" in der Einleitung zu diesem Buch). Bei der Aufwärtsbewegung muss mit dem Brustmuskel so gedrückt werden,
als könnte zusätzlich zur Aufl,trärtsbewegung eine Umarmung erfolgen, um zu vermeiden, dass ein Großteil der
Arbeit von den Deltamuskeln und den Trizeps geleistet wird. Die Übung ist für Anfänger geeignet. Bei einem gut konstruierten
Gerät wird das Gewicht oben, bei gestreckten Armen, abgenommen.
Es gibt ein Gerät, bei dem lm Sitzen senkrecht (nach unten) gedrückt wird. Diese Bewegung ähnelt stark der Übung
,,Oberkörperheben am Barren"" (siehe Übung 7).
Darüber hinaus ist auch hier die Variante mit gestreckten Ellbogen möglich, wie bei der Übung ,,Bankdrücken mit der
Langhantel oder mit Kurzhanteln und gestreckten Armen"" (siehe Übung 12) oder beim ,,Bankdrücken an der Multipresse
mit gestreckten Ellbogen"" (siehe Ubung 15,4)";"";"";"Sie liegen auf der flachen Bank des Geräts, die Füße stehen auf dem Boden
(wenn die Bank niedrig ist) oder auf einer Erhöhung, Die Griffe werden im
0bergriff senkrecht über der Brust gehalten, in einem etwas mehr als schulterbreiten
Abstand und vorzugsweise mit dem Daumen unter dem Griff.
Während der Abwärtsbewegung einatmen, bis auf die Höhe des mittleren
Brustbereichs absenken und wieder senkrecht nach oben drücken, Die Ellbogen
bleiben senkrecht zum Körper (auseinander), werden jedoch oben
nicht blockiert. Während der Aufwärtsbewegung ausatmen.";"falsch eingestellte Haltung am Gerät, übermäßige Belastung des Trizeps,
Blockieren der Ellbogen in der oberen Position und ungleicher Kraftaufwand der beiden Arme.";"";"gerät"
15;"Bankdrücken an der Multipresse";"";"Beinahe alles, was zum ,,Bankdrücken am Gerät"" gesagt wurde (siehe Übung t4) gilt auch für diese Übung, denn
sie ist sehr ähnlich. Der Hauptvorteil der Multipresse besteht darin, dass das Gewicht von oben abgenommen werden,
dass der Satz jederzeit beendet werden (durch reines Drehen der Stange und Einrasten) und dass die Bank
unterschiedllch stark geneigt werden kann. Gute f4odelle dieses Geräts verfügen über einen Anschlag, damit die
Stange nicht tiefer als gewünscht abgesenkt werden kann (zur Orientierung und zur Sicherheit).
Unter den Geräten, die in Sportstudios anzutreffen sind, ist es möglicherweise das vielfältigste.";"";"";"Sie liegen an der Multipresse/Smith-Maschine (mit seitlichen Schienen) auf
der flachen Bank, Die Füße stehen auf dem Boden (bei einer niedrigen Bank)
oder auf einer Stufe, ihr Abstand ist etwas mehr als schulterbreit, Der Daumen
muss unter der Stange liegen (den übrigen Fingern gegenüber).
Die Langhantel wird aus der Halterung genommen, mit den Händen gedreht,
damit sie beim Absenken nicht anstößt, und abgesenkt, bis sie die Brust im
unteren Bereich berührt. Anschließend wieder nach oben drücken,
Die Ellbogen bleiben senkrecht zum Körper (gelöst). Während der ersten
Hälfte der Abwärtsbewegung einatmen, während der Aufwärtsbewegung
ausatmen.";"falsch eingestellte Haltung am Gerät, Abfedern der Stange vom
Oberkörper, Blockieren der Ellbogen in der oberen Position, ungleicher Krafteinsatz
der beiden Arme und Positionierung des Daumens auf der gleichen Seite wie die anderen
Finger,";"";""
16;"Kabelzüge über Kreuz";"";"Diese Ubung ist gut geeignet, um die Brustmuskeln zu isolieren und eine gute Durchblutung zu erzielen, nlcht so sehr,
um mit schweren Gewichten zu arbeiten (wenn auch durchaus mit mittelschweren Gewichten), wegen der Spannung
auf Ellbogen und Schultern. Als Besonderheit ist hervorzuheben, dass es sich hier um eine der wenigen Brustmuskelübungen
handelt (gemeinsam mit den verschiedenen fliegenden Bewegungen), beidenen nicht im Wesentlichen
der Trizeps beansprucht wird (nur als Haltemuskel), sondern der Bizeps; Letzterer kann gefährdet sein, wenn die
Technik nicht einwandfrei ist, das Gewicht zu hoch oder wenn das Ellbogengelenk beim Öffnen zu sehr gestreckt wird.
Wird der 0berkörper stärker senkrecht gehalten, während die gekreuzten Arme unten gehalten werden, verlagert
sich die Beanspruchung auf den weiter unten liegenden Bereich des Brustmuskels, Das Gleiche gilt umgekehrt,";"";"";"Sie stehen zwischen den beiden Seilzügen, Die Beine sind leicht gebeugt
(vorzugsweise ist ein Bein nach vorne gestellt), Der Oberkörper ist leicht
gebeugt (ca, 1 5"" bis 45') und die Bauchmuskeln sind fest.
Begonnen wird mit überkreuzten Armen und halb gebeugten Ellbogen. Die
Arme werden wie bei einer Umarmung nach vorne und nach unten zusammengeführt
(beinahe eine ,,waagerechte Adduktion""). Dabei bleibt die Beugung
über die gesamte Bewegungsstrecke gleich. Beim Öffnen der Arme
einatmen, am Ende des Zusammenführens ausatmen.";"Ausführung als Bankdrücken, obwohl eine andere Art fliegende
Bewegung ausgeführt werden soll (durch zu hohes Gewicht oder mangelnde Technik),
zu starkes Schwanken mit dem Oberkörper, um die Übung zu erleichtern, und
Einstellung eines zu geringen Gewichts.";"";""
17;"Fliegende Bewegung am Seilzug von unten";"";"Zu berücksichtigen sind die Erläuterungen der Ubung,,Fliegende Bewegung mit Kurzhanteln"" (siehe Ubung 5), mit
dem Unterschied, dass die Spannung auch am Ende der Bewegung (wenn beide Hände oben zusammengeführt werden)
hoch bleibt, Dies ist das beste Beispiel dafür, dass freie Gewichte nicht immer besser sind als Geräte, denn bei
dieser Übung erwelsen sich die Seilzüge als sehr wirkungsvoll,";"";"";"Diese Ubung er{olgt im Liegen auf einer flachen Bank, Die Füße stehen auf
dem Boden (bei einer niedrigen Bank) oder auf einer Stufe. Die Griffe der
Seilzüge werden waagerecht über die Brust gezogen, die Ellbogen sind
halb gebeugt, die Handflächen liegen einander gegenüber (die Knöchel zeigen
nach außen),
Während der Abwärtsbewegung einatmen. Absenken bis auf Höhe der Brust
(je nach Dehnbarkeit), ohne die Beugung des Ellbogens zu verändern;
dann wieder senkrecht nach oben und zur Vlitte bewegen, Die Ellbogen
bleiben senkrecht zum Körper (auseinander), wie bei einer ,,Umarmung"".
Während der Aufwärtsbewegung ausatmen.";"kurze Bewegungsstrecke bei der Öffnung aufgrund zu kurzer
Kabel oder zu nahe beieinander stehender Seilzüge, Bankdrücken anstelle fliegender
Bewegungen, mangelnde Konzentration der Belastung auf den Brustmuskel und
zu starke Verlagerung der Anstrengung auf die Deltamuskeln.";"Der große Brustmuskel dient dem Vorführen des Arms bis ungefähr 60"", ab dort führt er die gegenteilige
Bewegung aus. Dies erklärt, warum er bei Übungen wie ,,Kurzhantelfrontdrücken"" für den Deltamuskel
(siehe Übung 3, ,,schultern und Nacken"" und bei ,,Klimmzüge im Untergriff/für den Bizeps""
(siehe Übung 1.3 ,,Rückenmuskeln"") beteiligt ist.";"gerät"
18;"Butterfly";"";"lsoliert in optimaler Weise die Brustmuskeln, ohne den Trizeps einzubezlehen, und ermöglicht bei einer mittleren
oder hohen Zahl an Wiederholungen eine gute Durchblutung. Aufgrund ihrer Einfachheit empfiehlt sich diese Übung
für Anfänger und aufgrund der gezielten Einbeziehung der Muskeln auch für Fortgeschrittene (hervorragende Ergänzung
des ,,Bankdrückens"", Übung 1 ). Zusätzliches tiefes Einatmen trägt zu einer Weitung des Brustkorbs bei (siehe
,,Fliegende Bewegung mit Kurzhanteln"", Übung 5). An diesem Gerät muss, wie beianderen Geräten auch, das Gewicht
mit den Füßen gelöst werden, um beim Aufnehmen und Lösen der Last Verletzungen zu vermeiden,
Traditionell wird die Ansicht vertreten, dass es in der Phase der weitesten Öffnung zur stärksten Einbeziehung der
körperfernen (äußeren) Fasern des Brustmuskels kommt und beim Schließen die körpernahen Fasern (also die inneren
bzw, Brustbeinfasern) einbezogen werden. ln Wirklichkeit betrift die Beanspruchung jedoch den gesamten
Brustmuskel, da es zwischen den beiden Bereichen keine Muskelansätze gibt. Schließlich lässt sich die Beanspruchung
des Brustmuskels theoretisch leicht zum oberen oder unteren Bereich hin verlagern, indem wir die Griffe
etwas höher bzw. tiefer einstellen, doch das ist nicht erforderlich";"";"";"Sie sitzen am Gerät und lehnen den Rücken an. Der Ellbogen ist auf mittlerer
Brusthöhe um ca, 90"" gebeugt, Sie halten die Griffe und schieben mit
den Ellbogen, um sie vor dem Körper zusammenzuführen oder anzunähern.
Beim Einatmen die Arme so weit öffnen, wie es die Beweglichkeit zulässt
(zur Sicherheit weniger weit öffnen, je mehr Gewicht verwendet werden
soll) und beim Schließen ausatmen.";"unangemessene Bewegungsstrecke (eine kurze Strecke reicht
nicht aus, eine lange Strecke führt zu Verletzungen), Lösen der Ellbogen und Schieben
mit den Händen, um die Schultern verstärkt zu Hilfe zu nehmen, und Aufnehmen
und Ablegen des Gewichts, ohne die Last am Gerät zu lösen.";"";"gerät"
19;"Überzüge am tiefen Seilzug";"";"Entspricht der übung mit Kurzhanteln oder mlt der Langhantel (siehe Übung B). Ebenso wie in diesen Fällen wird dieser
Satz von überzügen üblicherweise eingesetzt, um den Brustkorb zu ,,weiten"" und die Dehnbarkeit der Brustmuskeln
zu erhöhen, obwohl bei dieser Übung auch der Rücken und die angrenzenden Muskeln stark beansprucht
werden. Dafür ist ein tiefes Einatmen bei der Abwärtsbewegung wichtig. Diese Übung sollte nicht mit dem Ziel der Vergrößerung
des Brustmuskels ausgeführt werden'";"";"";"Sie liegen auf einer Bank, mit dem Kopf am Rand, und halten die Stange bzw. das Seil (am tiefen Seilzug befestigtjvor
ihre Augen, Mit halb gebeugten Ellbogen wird das Gewicht langsam über und hinter den Kopf gesenki.
Gleichzeitig tief einatmen, Di. B.rgrng des Ellbogens bleibt unverändert, Die Dehnung der Brustmuskeln
muss zu spüreniein. Die Bewegung erfolgt bis senkrecht über die Augen, während der Brustmuskel kontrahiert
wird. Am Ende der Aufwärtsbewegung ausatmen";"zu vlelGewicht, falsche Atmung, zu lange oder zu kurze Bewegungsstrecke,
Beugen des Ellbogens (Trizeps) und Auswärtsdrehung der Arme.";"";"gerät"
20;"Dips am Barren";"";"Wie bei den freien Gewichten erläutert, ist dies eine bessere Alternative zum Bankdrücken auf der Negativbank, mit
dem Vorteil, dass das Abstützen für den Anfänger eine Erleichterung darstellt. Zwar wird der Trizeps stark beansprucht,
doch die Hauptbelastung sollte auf dem Brustmuskel liegen, damit wir spüren, wie er sich beim Absenken
verlängert und wie er durch das Drücken auf die Griffe den Körper wieder nach oben bewegt. Vorsicht ist geboten
bei Verletzungen des Ellbogens oder der Schulter, Könner und Fortgeschrittene sollien sich nicht täuschen lassen,
bei nur schwachem Abstützen und langsamen Bewegungen kann die Übung sehr anspruchsvoll sein";"";"";"Die Ausführung erfolgt wie bei der Variante mit freien Gewichten (siehe Ubung 7), jedoch mit Abstützen auf dem
Gerät, Das heißt, Sie stützen sich mit neutralem, mäßig breitem Griff auf den Barren, den Oberkörper aufrecht,
die Beine zusammen, Einatmen, dabei absenken und den Oberkörper nach vorne beugen und die Füße oder
Knie auf dem Gestell abstützen (je nach Konstruktion des Geräts). Während der Abwärtsbewegung werden die
Ellbogen vom 0berkörper weg bewegt, Unten angekommen, wird der Körper erneut nach oben gedrückt, dabei
ausatmen,";"kurze Bewegungsstrecke, übermäßige Belastung des Trizeps,
falsche Oberkörperhaltung während der Bewegung.";"";"gerät"
21;"Klimmzüge";"";"Sie hängen an einer waagerechten Stange, die Hände befinden sich
im 0bergriff (Knöchel zeigen nach hinten) und sind mehr als schulterbreit
auseinander. Mithilfe der Rückenmuskeln nach oben ziehen,
so dass sich der obere Bereich der Brust der Stange nähert. Gleichzeitig
den Oberkörper leicht nach hinten beugen, Die Beine hängen
locker nach unten oder sind hinten überkreuzt. Dabei können die Knie
gebeugt sein oder nicht. Während der ersten Hälfte der Abwärtsbewegung
einatmen, am Ende der Aufwärtsbewegung ausatmen.";"";"";"Hervorragende Grundübung, die aber den Rücken und die Arme stark beansprucht, Gut geeignet, um in
diesem Bereich an Breite zu gewinnen (auch wenn dies stark vom Körperbau jedes Einzelnen abhängt),
Die Bewegung muss senkrecht, auf einer Linie und vollständig erfolgen; Schwanken zu den Seiten und
Schwungholen des 0berkörpers sind Zeichen fehlerhafter Technik. Fortgeschrittene, die viele Wiederholungen
schaffen, können sich ein Gewicht an den Haltegurt hängen (siehe Übung 7,2, ,,Brustmuskeln""), doch
es wird empfohlen, zunächst das Tempo der Übung zu drosseln und die Zahl der Wiederholungen zu erhöhen,
bevor mit Zusatzgewichten gearbeitet wird, denn wenn diese zu schwer sind, könnte ein Gelenk, der
Trizeps oder sogar die Wirbelsäule zu Schaden kommen,
Anfänger sollten Geräte des Typs ,,Latziehen zur Brust"" wählen (Übung 8). Durch einen engen Griff werden
die Arme stärker miteinbezogen und ein Teil der Belastung zur Mitte des Rückens hin verlagert. Auch
wird die Bewegungsstrecke länger. Dies ist die Reihenfolge der im Folgenden erklärten Varianten nach
ihrem Schwierigkeitsgrad: 1.6; 1 ,4; 1 ,3; 1 ,2; 1 .5.";"hohe Geschwindigkeit, unvollständige Bewegungsstrecke, Balancieren mit
dem Körper, Beugen des Oberkörpers und Vorwärtsstrecken der Ellbogen, um die Brustmuskeln
zu Hilfe zu nehmen, Beugen der Knie, um Schwung zu holen, zu weit geöffneter Griff,
Durchstrecken der Arme beim Absenken";"Die Venvendung hochwertiger Handschuhe beim Training ist sehr zu empfehlen. Das ist nicht nur hygienischer als das Training mit bloßen
Händen, es schützt auch vor Verletzungen (vor allem Verletzungen durch die Reibung an den Stangen) und verhindert, dass sich durch
den Schweiß der Griff löst.";"free"
22;"Langhantelrudern";"";"Es handelt sich um eine Grundübung (auch ,,Französisches Rudern"" genannt), jedoch werden alle Rückenmuskeln stark
beansprucht, hauptsächlich der breite Rückenmuskel, Sie eignet sich hervorragend, um in diesem Bereich mehr Dicke
zu erzielen (mittlere Fasern) und allgemein die Kraft zu steigern, denn sie beansprucht auch den Rumpf und die
Beine isometrisch.
Anfänger sollten sie am Gerät ausführen. Trainierte Sportler könnten schweres Gewicht venvenden, doch das erfordert
eine einwandfreie Technik und bringt gewisse Risiken mit sich, vor allem für den Lendenbereich (wichtig: siehe
,,Kreuzheben"", Übung 9, ,,Bauch- und Lendenmuskeln""). Die hier erläuterte Atmung ist etwas untypisch, doch unerlässlich,
um die Wirbelsäule vor Verletzungen zu schützen. Zur Orientierung, ob die Haltung korrekt ist, kann man die
Stirn an eine Bank oder eine andere Stütze legen (nicht abstützen). Es gibt sicherere und eher zu empfehlende
:'i l #
si.,
Varianten (siehe Ubung 2,5, Ubung 1 1 usw,)";"";"";"Wir stehen mit geradem Oberkörper, die Hüfte um ca. 45"" gebeugt, die
Knie sind leicht gebeugt, die Arme gestreckt. Die Stange wird im Obergriff
(Handflächen in Richtung des Körpers) gehalten, der Abstand der
Hände ist etwas mehr als schulterbreit. Wir ziehen die Stange mit den
Armen bis zur Bauchgegend nach oben, wobei die Ellbogen gebeugt
werden. Kurz vor dem Absenken des Gewichts durch den Mund tief einatmen,
die Luft während der Bewegung anhalten und am Ende der Aufwärtsbewegung
(schnell) ausstoßen, Es ist darauf zu achten, dass die
durch das Zurückhalten von etwas Luft erzielte Anspannung nicht nachlässt,
denn sie hilft, den Oberkörper zu stabilisieren,";"Schaukeln mit dem Körper durch Strecken, unvollständiges Ausführen
der Sätze oder der Bewegungsstrecke, Beugen des Rückens, Führen der
Stange in Richtung Brust und falsche Atmung,";"Der Körperschwerpunkt ist ein imaginärer Punkt, der das Zentrum des Gewichts eines Gegenstandes darstellt. Beim Menschen ist es ein
Gleichgewichtspunkt aller Teile des Körpers, Bei den meisten Menschen befindet er sich in der Nähe des Beckens (bei Beibehaltung einer
anatomischen Haltung), auch wenn dies von der Statur und der Länge der Körperteile abhängt, vom Gewicht und seiner Verteilung, von
der eingenommenen Körperhaltung usw.";"free"
23;"Rudern mit der T-Stange";"";"Beim Rudern mit der T-Stange gelten beinahe alle Anmerkungen der Ubung ,,Langhantelrudern"" (siehe Ubung 2).
Doch die Haltung ist bequemer und belastet die Wirbelsäule etwas weniger, da die Belastung schräger ansetzt, lst
keine spezielle Stange verfügbar, kann die Stange auf dem Boden in einer Ecke abgestützt werden, mit den Scheiben
am beweglichen Ende und mit einer Querstange, an der gezogen wird. AII dies kann die Bewegungsstrecke der
Übung verkürzen, wenn die Scheiben bei der Aufwärtsbewegung an den Oberkörper stoßen. Daher sollten dicke
Scheiben mit geringem Durchmesser verwendet werden sowie eine Stange mit geschwungenem Griff.
Es gibt eine gleichwertige Übung an einem Gerät mit Gewichtsplatten, doch dieses Gerät ist nicht weit verbreitet, da
es nicht sehr vielseitig ist.";"";"";"Wir stehen mit geradem Oberkörper, die Hüfte um ca. 45"" gebeugt, die
Knie sind leicht gebeugt, die Arme gestreckt, Die T-Stange wird im 0bergriff
(Handflächen in Richtung des Körpers) gehalten. Wir ziehen die Stange mit
den Armen bis zur Bauchgegend nach oben, wobei die Ellbogen gebeugt
werden. Gleichzeitig kann als leichte Begleitbewegung der ganze Körper
etwas einbezogen werden. Aufgrund der Haltung wird kurz vor dem Absenken
des Gewichts eingeatmet, dann die Luft angehalten und während
des letzten Drittels der Aufwärtsbewegung ausgeatmet, ohne die gesamte
Luft rauszulassen,";"Schaukeln mit dem Körper durch übermäßiges Strecken, unvollständiges
Ausführen der Sätze oder der Bewegungsstrecke, Beugen des Rückens
oder sonstige fehlerhafte Haltungen,";"";"free"
24;"Kurzhantelrudern";"";"Dies ist eine traditionelle Übung für Anfänger und Fortgeschrittene, bei der mit sehr viel Gewicht und geringem Risiko
für den Rücken gearbeitet werden kann. Die Schwierigkeit besteht darin, hierbei tatsächlich die Rückenmuskeln
zu beanspruchen, Die Bewegung soll deswegen senkrecht edolgen, weil die Last stets entgegen der Schwerkraft geführt
werden (das ist eine Vorgabe bei der Verwendung ,,freier Gewichte"") und sich die Belastung auf den Rückenmuskel
konzentrieren soll, Daher ist es falsch, die Kurzhantel schräg vom Kopf bis zur Hüfte zu führen. Geübtere und
Fortgeschrittene, die mit viel Gewicht arbeiten wollen, können versuchen, beide Füße auf den Boden zu stellen. Dabei
wird das Bein, das zuvor auf die Bank gestützt war, nach vorne genommen.";"";"";"Sie stützen sich mit der Hand und dem Knie der gleichen Seite auf eine
waagerechte Bank, während die andere Hand die Kurzhantel im neutralen
Griff hält. Das ausgestreckte oder halb gebeugte Bein ist diagonal auf den
Boden gestellt und steht leicht hinter dem Körper (je nach Größe), damit
der Oberkörper in der Horizontalen und auf einer Linie bleibt. Aus der tiefsten
Haltung heraus, die sich durch Dehnen des Rückenmuskels einnehmen
lässt, ziehen Sie (als würden Sie ein Stück Holz sägen) und bewegen so die
Kurzhantel zur Hüfte. Die Bewegung des Ellbogens verläuft nahe am 0berkörper,
der Unterarm bewegt sich senkrecht zum Boden. Kurz vor der Aufwärtsbewegung
einatmen, oben die Luft anhalten und am Ende der
Abwärtsbewegung ausatmen.";"Anheben des Gewichts bis zur Schulter, Absenken nach vorne statt in
der Senkrechten, zu starkes Drehen des 0berkörpers bei der Aufwärtsbewegung, zu geringes
Gewicht, Beugen des Oberkörpers aufgrund eines genau senkrecht stehenden Fußes
(2. B, bei einer niedrigen Bank) und Abweichen des Oberkörpers von der Waagerechten.";"Ein Trick, um zwei oder drei zusätzliche Wiederholungen am Ende des Satzes zu schaffen: am Ende ein paar Sekunden anhalten, ohne das
Gewicht abzulegen, drei- oder viermal atmen und die eine oder andere weitere Wiederholung versuchen. Manche Bodybuilder praktizieren
seit Längerem etwas Ahnliches und nennen diese Technik beispielsweise ,,Pause und Erholung"". Bei hohen Lasten kann diese Technik bei
jeder Wiederholung angewandt werden, wobei beim Blockieren einiger Gelenke in der gestreckten Haltung Vorsicht geboten ist (2. B. ,,Bankdrücken"",
,,Beinpresse"" usw.). Daher sind eine sehr ausgereifte Technik und höchste Konzentration erforderlich.";"free"
25;"Seitziehen mit einer Hand";"";"Dies ist eine leichte Übung, Sie eignet sich für Anfänger oder zum Aufwärmen, Doch trotz ihrer Einfachheit muss es
gelingen, die Belastung auf den Rückenmuskel zu konzentrieren, indem der Körper über die gesamte Bewegungsstrecke
hinweg zur Seite bewegt wird. Anderenfalls übernehmen die Beugemuskeln des Arms die gesamte Arbeit. ln
der freien Hand kann ein Zusatzgewicht gehalten werden. Es handelt sich um eine Übung, die sich auch außerhalb
des Kraftraums in den Tagesablauf integrieren lässt, wenn keine Geräte verfügbar sind.";"";"";"Wir stehen mit einer Seite an einerfesten (waagerechten oder besser senkrechten) Stange, Die Füße befinden
sich nahe an der Stange und wir halten uns mit einer Hand an ihr fest, während die andere auf der Hüfte liegt.
Der Körper fällt steif zur Seite, die Füße bleiben stehen. Anschließend am Arm ziehen, um ihn wieder heranzuführen,
dabei nähert sich der Ellbogen der Seite,
Während der ersten Hälfte der Bewegung einatmen, während der zweiten Hälfte ausatmen,";"ruckartige Bewegungen ohne konstante Anspannung, zu starke
Einbeziehung des Arms und gebeugte Haltung des Körpers.";"Das Aufwärmen lässt sich sehr treffend und knapp charakterisieren: Es ist unverzichtbar";"free"
26;"Langhantel hinter Rücken gerade Arme";"";"Diese Ubung ist insofern recht ungewöhnlich, als der hintere Teil des Deltamuskels stark beansprucht wird. Aufgrund
der bei dieser Variante sehr charakteristischen Kontraktion des Rückenmuskels empfiehlt sie sich nur als Abschluss
einer Trainingseinheit und als Abwechslung im üblichen Trainingsablauf, Wie beim ,,Kurzhantelrudern"" mit gestreckten
Armen (siehe Übung 4.4) kommt es zu einer starken isometrischen Kontraktion des Trizeps, aber sein langer Kopf,
der zweigelenkig über Ellbogen- und Schultergelenk zieht, ist ebenfalls aktiv an der Bewegung beteiligt.";"";"";"Die Ausführung erfolgt ähnlich wie beim ,,Langhantelrudern"" (siehe Übung 2), doch diesmalwird die Stange
hinter den Beinen gehalten und durch das Strecken der Schultern hinter dem Körper angehoben,
Zu Beginn des Anhebens des Gewichts einatmen, dann die Luft bis zum Ende der Abwärtsbewegung anhalten.";"fehlerhafte Haltung, übermäßiges Gewicht und ruckartige
Schwungbewegungen.";"";"free"
27;"Latziehen am Gerät";"";"Diese Ubung ermöglicht eine strikte Beanspruchung des Rückenmuskels und der angrenzenden lYuskeln, sie eignet
sich sehr gut für Anfänger, Dieses Gerät ist aufgrund seiner mangelnden Vielseitigkeit nicht in vielen Trainingsräumen
anzutreffen, im Gegensatz zum ,,Kabelzug"" (siehe Übung 9), mit dem sich die gleiche Wirkung erzielen lässt und der
ein leichteres Wechseln der Griffarten ermöglicht. Es muss jedoch darauf hingewiesen werden, dass das seltene Vorhandensein
dieses Gerätes in den Studios auf geschäftliche und wirtschaftliche Gründe zurückzuführen ist, nicht so
sehr auf seinen mangelnden Nutzen für das Rückentraining, denn dieser ist der der Klimmzüge sehr ähnlich, Eine Besonderheit
dieses Geräts besteht darin, dass der Kopf durch die Griffe hindurchgestreckt werden kann, nicht wie bei
Klimmzügen oder beim Latziehen (es seidenn, man hat es mit geteilten Stangen zu tun).";"";"";"Wir sitzen mit geradem Rücken, fassen die Griffe des Geräts im Obergriff (die
Knöchel zeigen nach hinten) und ziehen die Ellbogen senkrecht an den
Körper: Die Bewegungsstrecke führt von der beinahe maximalen Streckung
bis zur Kontraktion am unteren Punkt am Oberkörper. Beim Anheben der
Arme einatmen, nach ihrem Absenken nahe dem Oberkörper ausatmen,
ohne die gesamte Luft herauszulassen; bei leichten Lasten kann die Atmung
umgekehrt erfolgen,";"Beugen des 0berkörpers nach vorn, um die Brust- und Bauchmuskeln
zu Hilfe zu nehmen, unvollständige Ausführung der Bewegungsstrecke und
zu geringes Gewicht.";"lst das Wachstum abgeschlossen, kann keine Muskelübung die Statur des Menschen vergrößern. Doch da sich die Bandscheiben rehydrieren,
wenn während des Ausruhens in der Horizontalen kein Druck auf ihnen lastet (2. B. während des Schlafs), nimmt ihre Größe etwas zu.
Daher sind wir morgens etwas größer als abends.";"gerät"
